BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod
10101,Schubrew Cream Ale III,Irish Cream Ale,34.07,1.054,1.012,5.51,24.69,3.02,41.64,60,1.044,70.0,Specific Gravity,BIAB
10106,Kick'n it in a Tutu Cream,Irish Cream Ale,20.82,1.045,1.01,4.56,18.02,4.37,24.61,60,1.038,50.0,Specific Gravity,All Grain
10121,Leftovers Irish Red,Irish Red Ale,20.82,1.057,1.014,5.59,31.48,15.96,28.39,60,1.042,60.0,Specific Gravity,BIAB
10133,Dry Irish Stout,Irish Dry Stout,37.85,1.046,1.011,4.63,22.51,38.75,41.64,60,1.042,72.0,Specific Gravity,All Grain
10169,Dad's Irish red v2,Irish Red Ale,11.36,1.06,1.016,5.72,25.89,18.85,11.36,60,1.06,75.0,Specific Gravity,extract
10180,Summer time,Irish Cream Ale,20.0,1.052,1.013,5.13,18.86,3.08,25.0,60,1.042,65.0,Specific Gravity,All Grain
10191,2 - Vienna Lager,Irish Lager,13.5,1.048,1.008,5.29,24.99,9.84,16.5,90,1.0390000000000001,65.0,Specific Gravity,All Grain
10264,Red elk,Irish Red Ale,10.0,1.055,1.015,5.2,20.24,14.68,14.0,60,1.0390000000000001,70.0,Specific Gravity,All Grain
10337,Etterbeek Amber,Irish Pale Ale,45.42,1.057,1.015,5.58,22.22,10.96,53.0,60,1.043,70.0,Specific Gravity,All Grain
10345,Morning Bell,Irish Cream Ale,24.61,1.053,1.011,5.52,11.64,3.68,30.28,90,1.043,72.0,Specific Gravity,All Grain
10373,B6D Irish Red Ale? 05.15.15,Irish Red Ale,20.82,1.0659999999999998,1.018,6.25,26.23,17.59,30.28,60,1.045,78.0,Specific Gravity,BIAB
10381,Fermenter's Anonymous Irish Red,Irish Red Ale,18.93,1.054,1.015,5.21,52.07,13.44,11.36,60,1.091,35.0,Specific Gravity,extract
10387,Ír vörös,Irish Red Ale,36.0,1.052,1.011,5.35,22.53,17.84,40.0,60,1.047,65.0,Specific Gravity,All Grain
10428,St Patty's Blarney Beer,Irish Red Ale,37.85,1.051,1.015,4.77,22.16,14.87,49.21,90,1.0390000000000001,75.0,Specific Gravity,All Grain
10467,Lave,Irish Pale Ale,7.0,1.053,1.016,4.85,27.04,10.45,10.0,60,1.037,45.0,Specific Gravity,BIAB
10505,El Rey - Vienna Lager,Irish Lager,9.46,1.051,1.013,4.95,24.75,31.58,11.36,60,1.042,70.0,Specific Gravity,BIAB
10522,Negra Wzór (oo-zoe-roo),Irish Lager,20.82,1.053,1.013,5.34,32.79,14.55,26.5,90,1.042,60.0,Specific Gravity,All Grain
10543,Flour witbier,Irish Pale Ale,20.0,1.055,1.014,5.32,18.72,3.46,28.5,60,1.038,80.0,Specific Gravity,All Grain
10554,Irish Red Ale,Irish Red Ale,43.9,1.048,1.012,4.81,23.11,18.4,60.2,90,1.035,70.0,Specific Gravity,All Grain
10569,Not-So RedBull Ale,Irish Red Ale,18.93,1.065,1.016,5.75,0.0,19.0,18.93,60,1.042,75.0,Specific Gravity,extract
10570,Ky Common 5.0,Irish Cream Ale,20.82,1.05,1.013,4.79,10.31,12.89,26.5,90,1.0390000000000001,75.0,Specific Gravity,All Grain
10625,Frankie's Cream Ale,Irish Cream Ale,18.93,1.053,1.013,5.4,20.78,3.54,24.61,60,1.041,70.0,Specific Gravity,All Grain
10668,Malty BIG red w/ rye,Irish Red Ale,37.85,1.062,1.012,6.52,54.43,13.95,43.53,60,1.054,72.0,Specific Gravity,All Grain
10675,PRAIA DE IRACEMA,Irish Cream Ale,33.0,1.0490000000000002,1.0070000000000001,5.45,11.95,3.15,42.0,90,1.038,60.0,Specific Gravity,BIAB
10681,LHBS Kentucky Common,Irish Cream Ale,20.82,1.051,1.011,5.2,25.66,9.56,28.39,60,1.037,80.0,Specific Gravity,All Grain
10687,Guinness clone,Irish Dry Stout,34.07,1.043,1.01,4.25,38.47,31.12,37.85,60,1.038,80.0,Specific Gravity,All Grain
10706,American Vanilla Cream,Irish Cream Ale,20.82,1.024,1.006,2.31,17.07,4.49,28.39,60,1.0170000000000001,35.0,Specific Gravity,All Grain
10723,Irish Red,Irish Red Ale,20.82,1.055,1.015,5.26,33.44,14.81,28.39,60,1.04,65.0,Specific Gravity,All Grain
10786,C2D Exported Irish Red Ale ? 07.10.15,Irish Red Ale,20.82,1.055,1.016,5.13,22.11,11.92,28.77,70,1.04,67.0,Specific Gravity,BIAB
10843,RED Irish red,Irish Red Ale,20.82,1.058,1.014,5.74,16.53,15.59,28.39,60,1.042,70.0,Specific Gravity,All Grain
10870,Vanilla Caramel Cream Ale,Irish Cream Ale,20.82,1.065,1.021,5.78,26.61,10.3,11.36,60,1.119,75.0,Specific Gravity,Partial Mash
10871,Red Citraesque,Irish Red Ale,21.0,1.052,1.015,4.92,25.59,16.5,11.0,60,1.099,35.0,Specific Gravity,extract
10899,Dusty Boy IRA,Irish Pale Ale,18.93,1.07,1.018,6.74,71.58,16.6,34.07,60,1.0390000000000001,70.0,Specific Gravity,All Grain
10951,Cathy's Yellow  Beer,Irish Cream Ale,41.64,1.051,1.0090000000000001,5.58,14.13,3.91,47.32,60,1.045,75.0,Specific Gravity,BIAB
10961,Colonial Porter,Irish Red Ale,16.09,1.091,1.022,9.04,47.17,35.87,28.39,90,1.052,66.0,Specific Gravity,All Grain
10973,Vanilla Caramel Cream (Circa 2009),Irish Cream Ale,37.85,1.061,1.015,6.11,18.9,13.9,47.32,60,1.0490000000000002,35.0,Specific Gravity,extract
11055,Peaches and Cream,Irish Cream Ale,41.64,1.05,1.011,5.09,16.47,4.08,45.42,60,1.046,72.0,Specific Gravity,All Grain
11082,Red Pine,Irish Red Ale,26.0,1.056,1.016,5.2,25.67,17.84,34.0,60,1.043,70.0,Specific Gravity,All Grain
11127,Maggie's Irish Red Ale,Irish Red Ale,21.77,1.05,1.01,5.4,21.7,17.96,26.5,60,1.041,77.0,Specific Gravity,BIAB
11133,Belgian Pale,Irish Pale Ale,18.93,1.051,1.013,5.04,0.0,12.47,24.38,60,1.042,75.0,Specific Gravity,All Grain
11163,Great Big Stout,Irish Extra Stout,37.85,1.0590000000000002,1.015,5.82,38.08,29.51,45.42,60,1.0490000000000002,70.0,Specific Gravity,BIAB
11186,Goosey Gander,Irish Red Ale,22.0,1.047,1.015,4.21,33.96,15.7,30.0,60,1.034,65.0,Specific Gravity,BIAB
11192,Pissed Off Irishman,Irish Red Ale,18.93,1.044,1.012,4.31,27.07,11.92,9.46,60,1.089,35.0,Specific Gravity,extract
11212,Timewaster Cream Ale,Irish Cream Ale,22.71,1.046,1.013,4.34,22.93,7.11,24.61,45,1.042,75.0,Specific Gravity,All Grain
11245,#25 Samu-Rye. Split batch,Irish Pale Ale,19.0,1.051,1.012,5.11,29.48,5.4,27.2,60,1.035,72.0,Specific Gravity,All Grain
11329,Guinness clone,Irish Extra Stout,20.82,1.05,1.011,5.08,48.26,30.52,26.5,90,1.0390000000000001,70.0,Specific Gravity,All Grain
11344,Cream Ale,Irish Cream Ale,18.93,1.05,1.0090000000000001,5.37,0.0,3.86,22.71,60,1.042,75.0,Specific Gravity,All Grain
11359,Stout?,Irish Extra Stout,18.93,1.068,1.0170000000000001,6.74,54.47,42.85,28.39,60,1.046,80.0,Specific Gravity,All Grain
11375,Vienna No Chill #1,Irish Lager,23.0,1.048,1.013,4.71,24.88,13.98,27.7,60,1.04,75.0,Specific Gravity,All Grain
11378,#7 Ranheimsøl-Brooklyn Lager Clone 53L,Irish Lager,53.0,1.0590000000000002,1.0170000000000001,5.43,35.64,8.93,62.4,75,1.05,74.0,Specific Gravity,All Grain
11464,Orval Clone,Irish Pale Ale,20.82,1.0490000000000002,1.012,4.8,27.15,15.19,9.46,60,1.1079999999999999,35.0,Specific Gravity,Partial Mash
